Brand,Address,City,State,Postal Code,Date,Time
Wendy's,925 E Main St,Grand Prairie,TX,75050,2019-02-20,11:17:36
Wendy's,2111 Hall-Johnson Road,Grapevine,TX,76051,2019-02-20,11:17:36
Wendy's,6834 Wesley Crossroads,Greenville,TX,75402,2019-02-20,11:17:37
Wendy's,4600 Twin City Highway,Groves,TX,77619,2019-02-20,11:17:37
Wendy's,1415 Ed Carey Drive,Harlingen,TX,78550,2019-02-20,11:17:27
Wendy's,401 Dixieland Road,Harlingen,TX,78552,2019-02-20,11:17:27
Wendy's,302 I-35 NE,Hillsboro,TX,76645,2019-02-20,11:17:31
Wendy's,10235 Almeda Genoa Road,Houston,TX,77075,2019-02-20,11:17:38
Wendy's,10715 North Freeway,Houston,TX,77037,2019-02-20,11:17:38
Wendy's,10731 W Bellfort Street,Houston,TX,77099,2019-02-20,11:17:38
Wendy's,10780 Westheimer Road,Houston,TX,77042,2019-02-20,11:17:38
Wendy's,1111 Louisana,Houston,TX,77002,2019-02-20,11:17:38
Wendy's,1127 West Rankin Road,Houston,TX,77067,2019-02-20,11:17:38
Wendy's,1225 Gessner,Houston,TX,77055,2019-02-20,11:17:38
Wendy's,12486 Northwest Freeway,Houston,TX,77092,2019-02-20,11:17:38
Wendy's,12707 Gessner Road,Houston,TX,77064,2019-02-20,11:17:38
Wendy's,13334 Tomball Parkway,Houston,TX,77086,2019-02-20,11:17:38
Wendy's,14027 Westheimer,Houston,TX,77077,2019-02-20,11:17:38
Wendy's,14115 E Sam Houston Pkwy N,Houston,TX,77044,2019-02-20,11:17:31
Wendy's,14602 Perthshire,Houston,TX,77079,2019-02-20,11:17:38
Wendy's,15130 Aldine Westfield Road,Houston,TX,77032,2019-02-20,11:17:38
Wendy's,15355 Wallisville Road,Houston,TX,77049,2019-02-20,11:17:29
Wendy's,16500 El Camino Real,Houston,TX,77062,2019-02-20,11:17:29
Wendy's,1702 Nasa Rd,Houston,TX,77058,2019-02-20,11:17:29
Wendy's,1829 Mangum Road,Houston,TX,77092,2019-02-20,11:17:38
Wendy's,2007 Durham,Houston,TX,77007,2019-02-20,11:17:38
Wendy's,210 Patton Street,Houston,TX,77009,2019-02-20,11:17:38
Wendy's,243 Greens Road,Houston,TX,77060,2019-02-20,11:17:38
Wendy's,2800 Terminal Rd N,Houston,TX,77032,2019-02-20,11:17:38
Wendy's,2928 Woodridge Dr,Houston,TX,77087,2019-02-20,11:17:38
Wendy's,3121 North Terminal Rd,Houston,TX,77032,2019-02-20,11:17:38
Wendy's,3500 Terminal Rd S,Houston,TX,77032,2019-02-20,11:17:38
Wendy's,3504 S. Dairy Ashford Suite B,Houston,TX,77082,2019-02-20,11:17:38
Wendy's,3710 Scott Street,Houston,TX,77004,2019-02-20,11:17:38
Wendy's,3910 Old Spanish Trl,Houston,TX,77021,2019-02-20,11:17:38
Wendy's,3950 S Terminal Rd,Houston,TX,77032,2019-02-20,11:17:38
Wendy's,5000 FM 1960 W,Houston,TX,77069,2019-02-20,11:17:38
Wendy's,5003 Kirby,Houston,TX,77098,2019-02-20,11:17:26
Wendy's,5916 Richmond Avenue,Houston,TX,77057,2019-02-20,11:17:26
Wendy's,6101 Hillcroft,Houston,TX,77081,2019-02-20,11:17:26
Wendy's,7090A W Orem Drive,Houston,TX,77085,2019-02-20,11:17:38
Wendy's,715 W 28th St,Houston,TX,77008,2019-02-20,11:17:38
Wendy's,7215 Fondren,Houston,TX,77036,2019-02-20,11:17:38
Wendy's,7760 West Bellfort,Houston,TX,77071,2019-02-20,11:17:38
Wendy's,7800 Airport Blvd,Houston,TX,77061,2019-02-20,11:17:38
Wendy's,7920 Howard Drive,Houston,TX,77017,2019-02-20,11:17:38
