Brand,Address,City,State,Postal Code,Date,Time
Sonic Drive-In,"1888 Green Oaks Road, Fc #6 ",Fort Worth,TX, 76116,2019-02-21,19:34:06
Sonic Drive-In,2000 Alta Mesa Boulevard ,Fort Worth,TX, 76133,2019-02-21,19:34:06
Sonic Drive-In,2660 N Main ,Fort Worth,TX, 76106,2019-02-21,19:34:06
Sonic Drive-In,301 University Drive ,Fort Worth,TX, 76107,2019-02-21,19:34:06
Sonic Drive-In,3078 Basswood Blvd ,Fort Worth,TX, 76137,2019-02-21,19:34:06
Sonic Drive-In,3701 Sycamore School Road ,Fort Worth,TX, 76133,2019-02-21,19:33:55
Sonic Drive-In,"4200 S. Freeway, Suite 19 ",Fort Worth,TX, 76115,2019-02-21,19:34:06
Sonic Drive-In,4800 South Hulen Street #2106 ,Fort Worth,TX, 76132,2019-02-21,19:33:39
Sonic Drive-In,5009 Trail Lake Drive ,Fort Worth,TX, 76133,2019-02-21,19:34:06
Sonic Drive-In,5851 Overton Ridge Blvd. ,Fort Worth,TX, 76132,2019-02-21,19:33:39
Sonic Drive-In,6217 Camp Bowie Blvd ,Fort Worth,TX, 76116,2019-02-21,19:34:06
Sonic Drive-In,7101 Boat Club Road ,Fort Worth,TX, 76179,2019-02-21,19:33:34
Sonic Drive-In,8625 Camp Bowie West ,Fort Worth,TX, 76116,2019-02-21,19:33:39
Sonic Drive-In,9560 Clifford Street ,Fort Worth,TX, 76108,2019-02-21,19:34:06
Sonic Drive-In,9628 Tehama Ridge Parkway ,Fort Worth,TX, 76177,2019-02-21,19:34:06
Sonic Drive-In,1106 E. Main Street ,Fredericksburg,TX, 78624,2019-02-21,19:34:06
Sonic Drive-In,1605 Brazosport Boulevard ,Freeport,TX, 77541,2019-02-21,19:34:07
Sonic Drive-In,3221 Fm 528 ,Friendswood,TX, 77546,2019-02-21,19:33:31
Sonic Drive-In,806 S. Friendswood Drive ,Friendswood,TX, 77546,2019-02-21,19:33:31
Sonic Drive-In,11665 Frisco Street ,Frisco,TX, 75033,2019-02-21,19:33:48
Sonic Drive-In,2601 Preston Road #2048 ,Frisco,TX, 75034,2019-02-21,19:34:07
Sonic Drive-In,315 Main Street ,Frisco,TX, 75034,2019-02-21,19:34:07
Sonic Drive-In,5353 Lebanon Road ,Frisco,TX, 75034,2019-02-21,19:34:07
Sonic Drive-In,7630 Preston Road ,Frisco,TX, 75034,2019-02-21,19:34:07
Sonic Drive-In,9265 Warren Parkway ,Frisco,TX, 75034,2019-02-21,19:34:07
Sonic Drive-In,5220 Fm 1463 ,Fulshear,TX, 77494,2019-02-21,19:34:07
Sonic Drive-In,1307 N. Grand Avenue ,Gainesville,TX, 76240,2019-02-21,19:34:07
Sonic Drive-In,301 West California ,Gainesville,TX, 76240,2019-02-21,19:34:07
Sonic Drive-In,5127 Broadway Street ,Galveston,TX, 77551,2019-02-21,19:34:07
Sonic Drive-In,6502 Seawall Boulevard ,Galveston,TX, 77551,2019-02-21,19:34:07
